geoid,Zip_Code,Median_Income
86000US07421,7421,92274
86000US10001,10001,88526
86000US10002,10002,35859
86000US10003,10003,112131
86000US10004,10004,157645
86000US10005,10005,173333
86000US10006,10006,176250
86000US10007,10007,246813
86000US10009,10009,61548
86000US10010,10010,117923
86000US10011,10011,128613
86000US10012,10012,109037
86000US10013,10013,105442
86000US10014,10014,126601
86000US10016,10016,117004
86000US10017,10017,127506
86000US10018,10018,108914
86000US10019,10019,98833
86000US10021,10021,118289
86000US10022,10022,135363
86000US10023,10023,130452
86000US10024,10024,131668
86000US10025,10025,85930
86000US10026,10026,58884
86000US10027,10027,46113
86000US10028,10028,125140
86000US10029,10029,34016
86000US10030,10030,37232
86000US10031,10031,49891
86000US10032,10032,50391
86000US10033,10033,58614
86000US10034,10034,54716
86000US10035,10035,30081
86000US10036,10036,91936
86000US10037,10037,45041
86000US10038,10038,86058
86000US10039,10039,39653
86000US10040,10040,47137
86000US10044,10044,100441
86000US10065,10065,127375
86000US10069,10069,110625
86000US10075,10075,137146
86000US10128,10128,114010
86000US10162,10162,188880
86000US10280,10280,169844
86000US10282,10282,250001
86000US10301,10301,55802
86000US10302,10302,64103
86000US10303,10303,62558
86000US10304,10304,52199
86000US10305,10305,76489
86000US10306,10306,79569
86000US10307,10307,80893
86000US10308,10308,93963
86000US10309,10309,103175
86000US10310,10310,72093
86000US10312,10312,95064
86000US10314,10314,86742
86000US10451,10451,28921
86000US10452,10452,28277
86000US10453,10453,25275
86000US10454,10454,21149
86000US10455,10455,26801
86000US10456,10456,27106
86000US10457,10457,27420
86000US10458,10458,33932
86000US10459,10459,27687
86000US10460,10460,26866
86000US10461,10461,56612
86000US10462,10462,52409
86000US10463,10463,58551
86000US10464,10464,93365
86000US10465,10465,74796
86000US10466,10466,51477
86000US10467,10467,37015
86000US10468,10468,36046
86000US10469,10469,63652
86000US10470,10470,57160
86000US10471,10471,85707
86000US10472,10472,30977
86000US10473,10473,41638
86000US10474,10474,25493
86000US10475,10475,50832
86000US10501,10501,197321
86000US10502,10502,163902
86000US10504,10504,208275
86000US10506,10506,222500
86000US10507,10507,64500
86000US10509,10509,102372
86000US10510,10510,167847
86000US10511,10511,109375
86000US10512,10512,97363
86000US10514,10514,250001
86000US10516,10516,102841
86000US10517,10517,72067
86000US10518,10518,198255
